Date,Solar,Min Temperature,Relative Humidity,Wind,Precipitation,Max Temperature
4/1/2014,11.61049616,26.907,0.580877997,2.067858877,3.005791862,????
4/2/2014,20.56616063,25.711,0.542171768,2.124170298,0.017166132,????
4/3/2014,11.58873147,26.645,0.601386037,2.736363941,0.669479184,????
4/4/2014,23.01773548,25.329,0.641901309,2.472058861,3.084758064,????
4/5/2014,14.11755851,26.597,0.606611031,2.524266348,3.04527816,????
4/6/2014,17.98025966,24.719,0.682395224,1.831555381,6.811521286,????
4/7/2014,22.27969247,25.631,0.735510393,2.09778844,18.53256184,????
4/8/2014,18.49899973,25.837,0.765521064,1.899831006,11.05842731,????
4/9/2014,18.04415763,23.832,0.676214821,1.860077105,0.374221526,????
4/10/2014,20.98556639,24.897,0.749884736,1.702326238,14.88990492,????
4/11/2014,26.85429592,24.375,0.685083332,1.78269657,11.24038437,????
4/12/2014,23.44437338,25.411,0.673403486,1.433553624,13.15955682,????
4/13/2014,17.41189436,24.866,0.676497737,1.78347503,0.803375078,????
4/14/2014,16.28781978,25.213,0.629112013,1.617574787,2.375794404,????
4/15/2014,27.77778703,25.461,0.725563859,1.421054004,18.17378647,????
4/16/2014,18.97486937,24.474,0.652413964,1.699678391,1.438522344,????
4/17/2014,16.85573411,25.092,0.690667881,1.663018266,1.445388876,????
4/18/2014,14.48548316,24.998,0.639563261,1.925986956,0.878905944,????
4/19/2014,19.35837001,26.048,0.598980653,2.328815905,0.2300265,????
4/20/2014,16.81587324,24.965,0.611024605,2.16176048,0.04119876,????
4/21/2014,14.12056986,26.699,0.640344417,1.645077036,7.32651264,????
4/22/2014,22.15631714,26.451,0.71533378,1.546501446,12.7389888,????
4/23/2014,20.41464591,25.322,0.600120541,2.020158836,0.405120996,????
4/24/2014,17.99230963,26.036,0.597126336,2.483613994,0.051498439,????
4/25/2014,16.04907968,27.277,0.579426698,1.672278799,1.572420132,????
4/26/2014,20.07821268,26.337,0.618286748,1.311981428,3.361129668,????
4/27/2014,15.62901614,26.433,0.623091684,2.006663587,5.539514004,????
4/28/2014,27.41574162,26.618,0.722369051,1.848830106,18.66817188,????
4/29/2014,21.23300808,26.49,0.732706627,1.763741272,4.9850433,????
4/30/2014,24.64245938,25.177,0.73614266,1.515557239,6.646724813,????
